API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:30:18 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Mar-28 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-15 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461130.000000000, A.D. 2026-Mar-30 12:00:00.0000, -3.584076019864891E+05,  1.400561406470729E+05, -1.466017314710043E+02, -4.066205560866845E-01, -9.357171169401870E-01, -9.294039984570929E-02,
2461130.041666667, A.D. 2026-Mar-30 13:00:00.0000, -3.598551322752154E+05,  1.366811082796058E+05, -4.811752626271264E+02, -3.975585176211884E-01, -9.392858594979600E-01, -9.293235675989042E-02,
2461130.083333333, A.D. 2026-Mar-30 14:00:00.0000, -3.612699920324387E+05,  1.332933905841218E+05, -8.157044346435505E+02, -3.884704117013202E-01, -9.427644978425604E-01, -9.291575911816496E-02,
2461130.125000000, A.D. 2026-Mar-30 15:00:00.0000, -3.626520890446250E+05,  1.298933121844725E+05, -1.150158486572123E+03, -3.793571433928814E-01, -9.461528953905773E-01, -9.289062674772552E-02,
2461130.166666667, A.D. 2026-Mar-30 16:00:00.0000, -3.640013343553171E+05,  1.264811981792247E+05, -1.484506730253932E+03, -3.702196171002876E-01, -9.494509249893905E-01, -9.285698025879702E-02,
2461130.208333333, A.D. 2026-Mar-30 17:00:00.0000, -3.653176422625694E+05,  1.230573741077668E+05, -1.818718553126848E+03, -3.610587364640615E-01, -9.526584688855261E-01, -9.281484103836468E-02,
2461130.250000000, A.D. 2026-Mar-30 18:00:00.0000, -3.666009303160142E+05,  1.196221659165301E+05, -2.152763421010641E+03, -3.518754042588610E-01, -9.557754186917636E-01, -9.276423124381283E-02,
2461130.291666667, A.D. 2026-Mar-30 19:00:00.0000, -3.678511193135619E+05,  1.161758999253319E+05, -2.486610880868662E+03, -3.426705222920602E-01, -9.588016753529873E-01, -9.270517379647775E-02,
2461130.333333333, A.D. 2026-Mar-30 20:00:00.0000, -3.690681332977370E+05,  1.127189027938431E+05, -2.820230563546414E+03, -3.334449913029043E-01, -9.617371491107907E-01, -9.263769237511249E-02,
2461130.375000000, A.D. 2026-Mar-30 21:00:00.0000, -3.702518995516518E+05,  1.092515014881852E+05, -3.153592186486334E+03, -3.241997108622616E-01, -9.645817594668373E-01, -9.256181140926650E-02,
2461130.416666667, A.D. 2026-Mar-30 22:00:00.0000, -3.714023485946216E+05,  1.057740232476627E+05, -3.486665556418622E+03, -3.149355792729898E-01, -9.673354351449794E-01, -9.247755607258207E-02,
2461130.458333333, A.D. 2026-Mar-30 23:00:00.0000, -3.725194141774207E+05,  1.022867955516323E+05, -3.819420572027841E+03, -3.056534934709409E-01, -9.699981140521411E-01, -9.238495227600535E-02,
2461130.500000000, A.D. 2026-Mar-31 00:00:00.0000, -3.736030332771842E+05,  9.879014608651691E+04, -4.151827226594720E+03, -2.963543489266245E-01, -9.725697432379713E-01, -9.228402666091695E-02,
2461130.541666667, A.D. 2026-Mar-31 01:00:00.0000, -3.746531460919571E+05,  9.528440271296586E+04, -4.483855610613402E+03, -2.870390395475513E-01, -9.750502788532696E-01, -9.217480659218097E-02,
2461130.583333333, A.D. 2026-Mar-31 02:00:00.0000, -3.756696960348922E+05,  9.176989343316760E+04, -4.815475914383249E+03, -2.777084575812784E-01, -9.774396861071948E-01, -9.205732015111456E-02,
2461130.625000000, A.D. 2026-Mar-31 03:00:00.0000, -3.766526297281013E+05,  8.824694635831830E+04, -5.146658430575339E+03, -2.683634935191764E-01, -9.797379392232626E-01, -9.193159612837909E-02,
2461130.666666667, A.D. 2026-Mar-31 04:00:00.0000, -3.776018969961607E+05,  8.471588967625126E+04, -5.477373556773167E+03, -2.590050360009426E-01, -9.819450213941356E-01, -9.179766401679429E-02,
2461130.708333333, A.D. 2026-Mar-31 05:00:00.0000, -3.785174508592743E+05,  8.117705161923126E+04, -5.807591797987396E+03, -2.496339717198796E-01, -9.840609247352203E-01, -9.165555400407766E-02,
2461130.750000000, A.D. 2026-Mar-31 06:00:00.0000, -3.793992475260973E+05,  7.763076043191782E+04, -6.137283769144298E+03, -2.402511853289608E-01, -9.860856502370728E-01, -9.150529696550924E-02,
2461130.791666667, A.D. 2026-Mar-31 07:00:00.0000, -3.802472463862235E+05,  7.407734433950213E+04, -6.466420197547657E+03, -2.308575593477061E-01, -9.880192077166301E-01, -9.134692445652420E-02,
2461130.833333333, A.D. 2026-Mar-31 08:00:00.0000, -3.810614100023377E+05,  7.051713151602181E+04, -6.794971925313901E+03, -2.214539740698874E-01, -9.898616157672698E-01, -9.118046870523427E-02,
2461130.875000000, A.D. 2026-Mar-31 09:00:00.0000, -3.818417041020390E+05,  6.695045005285696E+04, -7.122909911780163E+03, -2.120413074720864E-01, -9.916129017077128E-01, -9.100596260488042E-02,
