date,eq_count,max_magnitude,mean_depth_km,energy_log10,dispersion_km
2017-04-30,0,,,,
2017-05-01,0,,,,
2017-05-02,0,,,,
2017-05-03,1,4.6,525.09,11.7,0.0
2017-05-04,0,,,,
2017-05-05,3,4.8,528.1999999999999,12.268578117629064,3632.971067054146
2017-05-06,3,5.0,411.7366666666667,12.54362726604562,3042.42772361836
2017-05-07,0,,,,
2017-05-08,0,,,,
2017-05-09,0,,,,
2017-05-10,2,4.6,563.2349999999999,11.932474080687586,0.0
2017-05-11,1,4.5,393.88,11.55,0.0
2017-05-12,0,,,,
2017-05-13,0,,,,
2017-05-14,0,,,,
2017-05-15,0,,,,
2017-05-16,2,4.6,525.48,11.932474080687586,0.0
2017-05-17,0,,,,
2017-05-18,0,,,,
2017-05-19,0,,,,
2017-05-20,2,6.0,512.535,13.802435376181217,0.0
2017-05-21,0,,,,
2017-05-22,1,4.6,530.3,11.7,0.0
2017-05-23,1,4.6,528.34,11.7,0.0
2017-05-24,1,4.5,607.81,11.55,0.0
2017-05-25,0,,,,
2017-05-26,1,5.0,561.79,12.3,0.0
2017-05-27,0,,,,
2017-05-28,0,,,,
2017-05-29,1,4.6,554.64,11.7,0.0
2017-05-30,1,4.5,554.74,11.55,0.0
2017-05-31,0,,,,
2017-06-01,0,,,,
2017-06-02,0,,,,
2017-06-03,0,,,,
2017-06-04,0,,,,
2017-06-05,2,4.5,404.955,11.851029995663982,0.0
2017-06-06,0,,,,
2017-06-07,1,5.0,540.11,12.3,0.0
2017-06-08,3,4.7,564.0866666666667,12.151545298844896,588.2719193282811
2017-06-09,0,,,,
2017-06-10,0,,,,
2017-06-11,1,4.8,412.58,12.0,0.0
2017-06-12,0,,,,
2017-06-13,2,4.8,504.065,12.176434862436484,0.0
2017-06-14,1,4.7,495.42,11.85,0.0
2017-06-15,1,4.5,539.13,11.55,0.0
2017-06-16,1,4.6,516.91,11.7,0.0
2017-06-17,1,6.1,511.0,13.95,0.0
